topic,actor,mentions,avg_context_length
gaza,militants,36,55.166666666666664
gaza,hamas,50,53.84
gaza,israel,50,53.84
gaza,gaza,50,53.84
gaza,conflict,29,54.51724137931034
gaza,attack,25,54.8
gaza,violence,11,60.36363636363637
ukraine,civilians,16,60.4375
ukraine,zelensky,14,58.92857142857143
ukraine,ukraine,21,56.23809523809524
ukraine,russia,30,57.46666666666667
ukraine,war,17,56.23529411764706
ukraine,invasion,13,59.07692307692308
ukraine,attack,10,53.2
ukraine,defense,7,60.57142857142857
ukraine,nato,7,57.57142857142857
