topic,target_word,associated_word,score
gaza,militants,military,0.0764525993883792
gaza,militants,that,0.0764525993883792
gaza,militants,from,0.0764525993883792
gaza,militants,civilian,0.0764525993883792
gaza,militants,depots,0.04281345565749235
gaza,militants,analysts,0.04281345565749235
gaza,militants,noted,0.04281345565749235
gaza,militants,often,0.04281345565749235
gaza,militants,operate,0.04281345565749235
gaza,militants,within,0.04281345565749235
gaza,militants,facilities,0.03363914373088685
gaza,militants,officials,0.03363914373088685
gaza,militants,reported,0.03363914373088685
gaza,militants,were,0.03363914373088685
gaza,militants,using,0.03363914373088685
gaza,militants,areas,0.03363914373088685
gaza,militants,neutralize,0.03363914373088685
gaza,militants,threats,0.03363914373088685
gaza,militants,hamas,0.03363914373088685
gaza,militants,according,0.03363914373088685
ukraine,civilians,against,0.11267605633802817
ukraine,civilians,the,0.11267605633802817
ukraine,civilians,russian,0.06338028169014084
ukraine,civilians,invasion,0.06338028169014084
ukraine,civilians,brave,0.06338028169014084
ukraine,civilians,have,0.06338028169014084
ukraine,civilians,taken,0.06338028169014084
ukraine,civilians,arms,0.06338028169014084
ukraine,civilians,committing,0.04929577464788732
ukraine,civilians,war,0.04929577464788732
ukraine,civilians,crimes,0.04929577464788732
ukraine,civilians,innocent,0.04929577464788732
ukraine,civilians,international,0.04929577464788732
ukraine,civilians,community,0.04929577464788732
ukraine,civilians,has,0.04929577464788732
ukraine,civilians,rallied,0.04929577464788732
