term,tfidf_score
military,0.7262133246316255
civilian,0.3250669167398704
attacks,0.269736377720318
forces,0.24898742558798587
officials,0.2005732039458775
infrastructure,0.17290793443610128
international,0.16599161705865725
accused,0.09682844328421672
aggression,0.09682844328421672
continued,0.09682844328421672
international observers,0.09682844328421672
observers,0.09682844328421672
security,0.09682844328421672
breaking,0.08299580852932863
breaking news,0.08299580852932863
news,0.08299580852932863
analysis,0.07607949115188457
civilian populations,0.07607949115188457
defense,0.07607949115188457
latest,0.07607949115188457
latest updates,0.07607949115188457
populations,0.07607949115188457
territory,0.07607949115188457
updates,0.07607949115188457
attention,0.06916317377444052
report,0.05533053901955241
humanitarian,0.04149790426466431
know,0.04149790426466431
