word,frequency
military,105
israeli,97
operation,77
hamas,61
militant,50
civilian,47
attack,39
force,36
targeted,36
conflict,35
official,29
response,28
rocket,25
infrastructure,25
area,25
launched,25
strike,25
weapon,25
ongoing,25
international,24
using,22
stated,22
organization,20
casualty,18
lasted,16
several,16
hour,16
tension,14
escalated,14
following,14
prompting,14
resulted,14
significant,14
damage,14
controlling,14
accused,14
launching,14
residential,14
observer,14
called,14
restraint,14
side,14
continued,14
aggression,14
focused,14
compound,14
depot,14
analyst,14
noted,14
often,14
