word,frequency
russian,35
civilian,30
international,29
force,26
support,24
community,20
resistance,20
family,19
resilience,19
war,17
crime,17
president,17
zelensky,17
continued,14
shown,14
global,14
heroic,13
aggression,13
invasion,13
fight,13
freedom,13
world,11
spirit,10
remains,10
unbroken,10
despite,10
attack,10
infrastructure,10
observer,10
documented,10
numerous,10
committed,10
invading,10
incredible,10
face,10
adversity,10
stand,10
united,10
right,10
selfdetermination,10
report,9
demonstrated,9
remarkable,9
brave,9
taken,9
arm,9
defend,9
home,9
unprovoked,9
widely,9
